StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q17,Q19,Q10_1,Q10_2,Q10_3,Q8_1,Q8_2,Q8_3,Q23_1,Q23_2,Q23_3,Q25_1,Q25_2,Q25_3,Q24_1,Q24_2,Q24_3,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q15,Q16,Q16_4_TEXT
2022-08-12 10:36:11,2022-08-12 10:39:10,IP Address,208.202.240.82,100,178,True,2022-08-12 10:39:10,R_1re2EWPNomtiVWi,,,,,40.9598,-74.1276,anonymous,EN,4-6 times a week,,90,Point A,Point B,Point A,Conservative,Fairly Conservative,Neutral,Point A,Point B,Point B,Point A,Point A,Point B,Point A,Point B,Point B,4,6,5,4,5,4,3,45-54 years old,Female,
2022-08-12 10:35:55,2022-08-12 10:39:17,IP Address,208.218.225.163,100,202,True,2022-08-12 10:39:17,R_R2ZWu0013JbJwS5,,,,,37.9186,-121.3132,anonymous,EN,Daily,It represents the golfer's ability based on their previous golf round's scores.,95,Point A,Point A,Point B,Conservative,Fairly Conservative,Fairly Aggressive,Point A,Point A,Point B,Point A,Point B,Point A,Point A,Point A,Point B,7,6,7,5,6,6,7,25-34 years old,Female,
2022-08-12 10:36:29,2022-08-12 10:39:30,IP Address,63.160.189.227,100,180,True,2022-08-12 10:39:31,R_1IZ8wGHCCU15pYh,,,,,34.1104,-118.4514,anonymous,EN,Once a week,,"According to the National Golf Foundation, the average 18-hole score for the average golfer is about 100.",Point A,Point B,Point A,Neutral,Fairly Aggressive,Fairly Aggressive,Point B,Point A,Point B,Point B,Point B,Point A,Point B,Point B,Point A,4,5,3,5,4,5,3,25-34 years old,,
2022-08-12 10:35:57,2022-08-12 10:39:37,IP Address,107.180.180.118,100,219,True,2022-08-12 10:39:37,R_3JmlG8BluWvSS0O,,,,,37.751,-97.822,anonymous,EN,Once a month,,"58 notched ",Point B,Point A,Point B,Aggressive,Aggressive,Aggressive,Point A,Point B,Point B,Point B,Point A,Point B,Point B,Point A,Point B,7,6,5,6,7,6,6,45-54 years old,,
2022-08-12 10:35:51,2022-08-12 10:40:03,IP Address,122.174.205.51,100,252,True,2022-08-12 10:40:04,R_1gNfRXUfdX0dTrn,,,,,12.8378,79.6973,anonymous,EN,2-3 times a week,,100,Point A,Point B,Point A,Fairly Aggressive,Fairly Conservative,Aggressive,Point B,Point A,Point B,Point B,Point B,Point A,Point A,Point B,Point A,4,4,3,3,4,5,5,35-44 years old,Female,
2022-08-12 10:36:03,2022-08-12 10:40:08,IP Address,208.203.222.235,100,244,True,2022-08-12 10:40:08,R_1KqjgOb46dOoGrs,,,,,40.7126,-74.0066,anonymous,EN,Once a month,aim,11,Point B,Point B,Point B,Neutral,Fairly Aggressive,Fairly Aggressive,Point B,Point A,Point B,Point B,Point B,Point A,Point B,Point B,Point B,3,2,4,3,5,2,4,55-64 years old,Male,
2022-08-12 10:35:45,2022-08-12 10:40:16,IP Address,208.218.229.40,100,271,True,2022-08-12 10:40:16,R_1DTiHOZGddDfp8d,,,,,40.7828,-73.9745,anonymous,EN,2-3 times a week,,90,Point A,Point B,Point A,Neutral,Fairly Aggressive,Aggressive,Point A,Point A,Point B,Point A,Point B,Point A,Point A,Point B,Point B,5,6,5,5,5,6,5,55-64 years old,Male,
2022-08-12 10:37:14,2022-08-12 10:40:26,IP Address,85.9.205.244,100,192,True,2022-08-12 10:40:27,R_d3TEijf5UO2Jnln,,,,,41.8764,-87.6133,anonymous,EN,2-3 times a week,,6,Point A,Point A,Point B,Fairly Aggressive,Conservative,Neutral,Point A,Point B,Point A,Point B,Point A,Point A,Point A,Point B,Point B,5,4,6,5,6,5,6,25-34 years old,Female,
2022-08-12 10:38:18,2022-08-12 10:40:46,IP Address,202.182.68.40,100,147,True,2022-08-12 10:40:46,R_1IcJMvh4MAFJWTf,,,,,40.7359,-73.9904,anonymous,EN,4-6 times a week,,90 strokes,Point A,Point A,Point A,Fairly Aggressive,Fairly Aggressive,Fairly Aggressive,Point A,Point A,Point A,Point A,Point A,Point A,Point B,Point B,Point B,5,5,4,5,5,6,4,35-44 years old,Male,
2022-08-12 10:38:43,2022-08-12 10:41:23,IP Address,208.218.225.122,100,160,True,2022-08-12 10:41:24,R_12tNp57Lp2sYhDl,,,,,37.9186,-121.3132,anonymous,EN,Daily,0.96,100,Point A,Point B,Point B,Fairly Aggressive,Fairly Aggressive,Fairly Aggressive,Point A,Point B,Point B,Point A,Point B,Point B,Point A,Point B,Point B,5,5,5,4,5,5,5,25-34 years old,Male,
2022-08-12 10:39:28,2022-08-12 10:41:43,IP Address,192.126.172.234,100,134,True,2022-08-12 10:41:43,R_1pxnnh5hNXQQhzP,,,,,47.63,-122.2972,anonymous,EN,2-3 times a week,Knowing your handicap is a must when a player wants to participate in tournament-style formats. Your handicap is the great equalizer.,better,Point A,Point A,Point B,Fairly Aggressive,Aggressive,Aggressive,Point A,Point B,Point B,Point B,Point A,Point B,Point B,Point A,Point B,6,7,7,6,6,7,7,35-44 years old,Male,
2022-08-12 10:38:56,2022-08-12 10:42:03,IP Address,208.218.231.25,100,187,True,2022-08-12 10:42:03,R_XzYrWJxPfRhNbhf,,,,,40.7484,-73.862,anonymous,EN,Once a month,,90 strokes,Point A,Point A,Point A,Fairly Aggressive,Neutral,Fairly Conservative,Point B,Point A,Point A,Point B,Point B,Point A,Point B,Point A,Point A,5,5,4,6,5,4,6,55-64 years old,Female,
2022-08-12 10:39:16,2022-08-12 10:42:07,IP Address,208.218.230.237,100,170,True,2022-08-12 10:42:07,R_2OHHUggrFKlXWLm,,,,,40.7484,-73.862,anonymous,EN,4-6 times a week,"The handicap index is an average of golf round scores and has its own calculation. ",60,Point A,Point B,Point A,Fairly Aggressive,Aggressive,Neutral,Point B,Point A,Point A,Point A,Point B,Point A,Point A,Point A,Point B,6,5,6,6,5,6,7,55-64 years old,Female,
2022-08-12 10:37:53,2022-08-12 10:42:41,IP Address,208.218.231.140,100,288,True,2022-08-12 10:42:42,R_DP4SKXA1whHGLFn,,,,,40.7484,-73.862,anonymous,EN,Daily,,16,Point A,Point B,Point A,Fairly Conservative,Neutral,Fairly Conservative,Point A,Point B,Point A,Point A,Point A,Point B,Point A,Point A,Point B,6,5,6,5,4,5,5,25-34 years old,,
2022-08-12 10:39:32,2022-08-12 10:42:57,IP Address,208.203.222.123,100,204,True,2022-08-12 10:42:57,R_1H7aPx2uAmW8Mbg,,,,,40.7126,-74.0066,anonymous,EN,Once a week,,45,Point A,Point B,Point A,Neutral,Fairly Aggressive,Aggressive,Point B,Point A,Point B,Point B,Point B,Point A,Point A,Point B,Point B,3,4,3,4,3,5,5,35-44 years old,Male,
2022-08-12 10:36:08,2022-08-12 10:44:33,IP Address,85.9.205.99,100,505,True,2022-08-12 10:44:34,R_3KPF93vpl4I7eh5,,,,,41.8764,-87.6133,anonymous,EN,Once a week,,90,Point A,Point A,Point B,Neutral,Neutral,Neutral,Point B,Point B,Point A,Point B,Point B,Point A,Point B,Point A,Point A,5,4,4,6,4,5,5,35-44 years old,Male,
2022-08-12 10:44:26,2022-08-12 10:44:37,IP Address,69.38.134.202,100,10,True,2022-08-12 10:44:37,R_3HRAjfIu4HBAKGZ,,,,,40.7653,-73.9589,anonymous,EN,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 10:39:38,2022-08-12 10:45:07,IP Address,50.5.8.249,100,328,True,2022-08-12 10:45:07,R_qUTrhQShdVdylwd,,,,,39.1642,-84.2356,anonymous,EN,Once a week,-5,95,Point B,Point B,Point A,Fairly Aggressive,Neutral,Fairly Conservative,Point B,Point B,Point B,Point B,Point B,Point B,Point B,Point B,Point B,4,5,1,3,5,3,4,35-44 years old,Male,
2022-08-12 10:43:04,2022-08-12 10:45:23,IP Address,65.184.197.17,100,138,True,2022-08-12 10:45:23,R_2VpPvweRTx5y631,,,,,34.2664,-77.8614,anonymous,EN,2-3 times a week,16,85,Point A,Point A,Point B,Fairly Aggressive,Fairly Aggressive,Fairly Conservative,Point B,Point A,Point A,Point A,Point A,Point B,Point B,Point B,Point B,6,4,5,4,4,4,3,25-34 years old,Female,
2022-08-12 10:42:31,2022-08-12 10:46:20,IP Address,208.207.184.165,100,229,True,2022-08-12 10:46:20,R_1DTrp15BiGUG7o5,,,,,32.6731,-96.7755,anonymous,EN,Daily,,,Point B,Point A,Point A,Neutral,Aggressive,Fairly Conservative,Point A,Point A,Point A,Point A,Point A,Point B,Point A,Point A,Point B,6,6,4,5,5,6,6,35-44 years old,Male,
2022-08-12 10:37:04,2022-08-12 10:50:05,IP Address,208.219.18.70,100,781,True,2022-08-12 10:50:05,R_3sp1bdlBE7Lun9G,,,,,42.8233,-72.1826,anonymous,EN,Once a week,,9,Point A,Point A,Point B,Fairly Conservative,Neutral,Conservative,Point A,Point B,Point B,Point A,Point A,Point B,Point A,Point B,Point A,2,2,3,3,4,4,5,18-24 years old,Male,
2022-08-12 10:49:39,2022-08-12 10:52:17,IP Address,208.218.226.62,100,158,True,2022-08-12 10:52:17,R_2U2PX0cCNMjclYK,,,,,37.9186,-121.3132,anonymous,EN,2-3 times a week,,,Point A,Point A,Point A,Fairly Conservative,Fairly Conservative,Fairly Conservative,Point A,Point A,Point A,Point A,Point A,Point A,Point A,Point A,Point A,4,4,4,4,4,5,5,25-34 years old,Female,
2022-08-12 10:50:28,2022-08-12 10:54:12,IP Address,208.218.231.226,100,224,True,2022-08-12 10:54:13,R_9zZZKZbS6udvJWF,,,,,40.7484,-73.862,anonymous,EN,Once a month,,,Point A,Point B,Point B,Neutral,Fairly Aggressive,Neutral,Point A,Point B,Point B,Point A,Point B,Point B,Point B,Point B,Point B,4,5,4,3,4,5,4,35-44 years old,Prefer to self-describe,
2022-08-12 10:54:54,2022-08-12 10:57:32,IP Address,176.103.241.83,100,158,True,2022-08-12 10:57:33,R_3ixQg84VD8FbCIo,,,,,39.018,-77.539,anonymous,EN,Once a month,,90,Point A,Point B,Point A,Fairly Aggressive,Neutral,Aggressive,Point A,Point B,Point B,Point B,Point A,Point A,Point A,Point B,Point A,6,5,6,5,6,5,6,25-34 years old,Female,
2022-08-12 10:55:36,2022-08-12 10:57:35,IP Address,208.218.229.240,100,118,True,2022-08-12 10:57:36,R_1r0IBeFYUmmOpOU,,,,,40.7828,-73.9745,anonymous,EN,4-6 times a week,"Golf handicaps are a number that represents the golfer's ability based on their previous golf round's scores. ",50,Point A,Point B,Point A,Fairly Aggressive,Aggressive,Neutral,Point A,Point B,Point B,Point A,Point B,Point A,Point A,Point B,Point A,5,6,5,6,4,6,7,45-54 years old,Male,
2022-08-12 10:57:55,2022-08-12 11:00:46,IP Address,208.218.229.69,100,170,True,2022-08-12 11:00:47,R_2aVPiwIdOjlw22d,,,,,40.7828,-73.9745,anonymous,EN,4-6 times a week,Golf handicaps are a number that represents the golfer's ability based on their previous golf round's scores.,50,Point A,Point B,Point A,Fairly Aggressive,Aggressive,Neutral,Point A,Point A,Point B,Point B,Point A,Point B,Point A,Point B,Point A,5,7,6,5,6,7,5,45-54 years old,Male,
2022-08-12 10:57:09,2022-08-12 11:01:39,IP Address,208.218.224.246,100,270,True,2022-08-12 11:01:40,R_2ANdtIHcue5ujZX,,,,,37.9186,-121.3132,anonymous,EN,Daily,,90,Point A,Point B,Point A,Conservative,Fairly Conservative,Neutral,Point A,Point B,Point B,Point A,Point A,Point B,Point B,Point A,Point B,6,6,6,5,6,5,6,45-54 years old,Female,
2022-08-12 10:58:44,2022-08-12 11:01:45,IP Address,149.46.192.161,100,180,True,2022-08-12 11:01:45,R_1o5Mq2IWZ2IeKjl,,,,,40.5237,-74.4151,anonymous,EN,Once a week,,,Point B,Point A,Point B,Neutral,Fairly Conservative,Neutral,Point A,Point B,Point A,Point B,Point A,Point B,Point A,Point B,Point A,4,5,3,5,4,4,5,18-24 years old,Male,
2022-08-12 11:03:11,2022-08-12 11:05:12,IP Address,208.218.225.62,100,121,True,2022-08-12 11:05:13,R_74JdEWuQm9ApQAx,,,,,37.9186,-121.3132,anonymous,EN,4-6 times a week,,,Point A,Point A,Point A,Neutral,Fairly Conservative,Fairly Aggressive,Point A,Point B,Point A,Point A,Point B,Point A,Point A,Point B,Point A,5,5,4,6,5,4,6,55-64 years old,Female,
2022-08-12 10:59:34,2022-08-12 11:05:39,IP Address,154.205.185.114,100,364,True,2022-08-12 11:05:39,R_2bIbhLNS63wDnN9,,,,,40.7064,-73.9473,anonymous,EN,2-3 times a week,28,108,Point A,Point A,Point B,Fairly Aggressive,Fairly Aggressive,Neutral,Point B,Point A,Point A,Point B,Point A,Point A,Point B,Point B,Point A,5,6,4,4,5,4,4,25-34 years old,Male,
2022-08-12 10:36:44,2022-08-12 11:07:31,IP Address,149.28.227.170,100,1846,True,2022-08-12 11:07:31,R_2Uaa2DaOxdUNtUb,,,,,40.5511,-74.4606,anonymous,EN,4-6 times a week,,16,Point A,Point A,Point A,Neutral,Fairly Aggressive,Neutral,Point A,Point B,Point A,Point B,Point A,Point B,Point B,Point A,Point B,5,5,5,5,4,5,5,35-44 years old,Male,
2022-08-12 11:02:11,2022-08-12 11:08:42,IP Address,208.207.190.111,100,390,True,2022-08-12 11:08:42,R_3EZmWCEJIAM70BP,,,,,32.6731,-96.7755,anonymous,EN,Once a week,,80,Point A,Point A,Point B,Conservative,Conservative,Conservative,Point B,Point B,Point B,Point A,Point B,Point A,Point A,Point A,Point B,2,1,1,1,2,1,2,35-44 years old,Male,
2022-08-12 11:02:43,2022-08-12 11:09:20,IP Address,208.218.229.178,100,396,True,2022-08-12 11:09:20,R_2Vsu0kb8Lg0haiZ,,,,,40.7828,-73.9745,anonymous,EN,Once a week,,8,Point A,Point B,Point B,Neutral,Neutral,Neutral,Point B,Point B,Point B,Point B,Point B,Point B,Point A,Point B,Point B,5,6,2,3,2,2,2,45-54 years old,Female,
2022-08-12 11:07:05,2022-08-12 11:09:32,IP Address,208.218.225.127,100,147,True,2022-08-12 11:09:33,R_3lMxuD2dDevj7Dr,,,,,37.9186,-121.3132,anonymous,EN,4-6 times a week,,90,Point A,Point B,Point A,Conservative,Fairly Conservative,Neutral,Point A,Point B,Point B,Point A,Point B,Point A,Point B,Point A,Point B,7,6,5,6,4,6,5,35-44 years old,Female,
2022-08-12 11:07:36,2022-08-12 11:10:10,IP Address,177.192.29.241,100,153,True,2022-08-12 11:10:10,R_24dWYLVOG74hYlf,,,,,-22.9485,-43.3436,anonymous,EN,Once a month,,70,Point A,Point B,Point A,Neutral,Fairly Aggressive,Neutral,Point A,Point B,Point A,Point B,Point A,Point B,Point B,Point A,Point A,4,5,4,4,5,4,5,35-44 years old,Female,
2022-08-12 11:10:29,2022-08-12 11:11:22,IP Address,208.203.222.192,100,53,True,2022-08-12 11:11:23,R_1Igx4Fpr2gyaMYI,,,,,40.7126,-74.0066,anonymous,EN,Daily,0.96,100,Point A,Point B,Point B,Fairly Conservative,Fairly Conservative,Fairly Conservative,Point A,Point B,Point B,Point A,Point A,Point B,Point A,Point B,Point B,4,6,5,5,5,5,5,55-64 years old,Female,
2022-08-12 11:09:55,2022-08-12 11:11:41,IP Address,208.218.230.74,100,106,True,2022-08-12 11:11:41,R_reeemRhiJ30mSD7,,,,,40.7484,-73.862,anonymous,EN,4-6 times a week,,90,Point A,Point B,Point A,Aggressive,Fairly Aggressive,Neutral,Point B,Point A,Point B,Point A,Point B,Point B,Point A,Point A,Point B,6,5,6,5,6,5,6,55-64 years old,Male,
2022-08-12 11:09:21,2022-08-12 11:11:53,IP Address,104.245.76.5,100,151,True,2022-08-12 11:11:53,R_2Cj1dh2Q7j5M2AP,,,,,35.0763,-101.8349,anonymous,EN,2-3 times a week,,50,Point A,Point B,Point A,Neutral,Conservative,Fairly Conservative,Point B,Point A,Point B,Point B,Point A,Point A,Point A,Point B,Point A,6,7,6,5,7,5,6,25-34 years old,Male,
2022-08-12 11:09:33,2022-08-12 11:12:07,IP Address,208.195.174.142,100,154,True,2022-08-12 11:12:08,R_262UcbH2TldEsxC,,,,,40.4551,-74.4871,anonymous,EN,4-6 times a week,,,Point A,Point A,Point B,Fairly Conservative,Neutral,Fairly Aggressive,Point A,Point A,Point A,Point A,Point A,Point B,Point A,Point B,Point A,3,4,3,4,5,4,6,25-34 years old,Female,
2022-08-12 11:07:30,2022-08-12 11:12:12,IP Address,208.207.182.241,100,282,True,2022-08-12 11:12:13,R_3nSrUKRLQ1veDRr,,,,,32.6731,-96.7755,anonymous,EN,Once a month,,60,Point A,Point A,Point B,Conservative,Fairly Conservative,Conservative,Point A,Point B,Point A,Point A,Point A,Point A,Point A,Point B,Point A,1,1,1,1,1,2,2,35-44 years old,Male,
2022-08-12 11:09:18,2022-08-12 11:13:26,IP Address,24.55.14.36,100,248,True,2022-08-12 11:13:27,R_12DACbvXrao11Zz,,,,,30.4548,-97.7664,anonymous,EN,Once a week,,82,Point B,Point B,Point B,Fairly Aggressive,Fairly Aggressive,Fairly Aggressive,Point B,Point B,Point B,Point B,Point B,Point B,Point B,Point B,Point B,2,4,1,3,4,2,4,25-34 years old,Male,
2022-08-12 11:12:46,2022-08-12 11:14:39,IP Address,85.9.203.1,100,112,True,2022-08-12 11:14:39,R_1dhpTMbiiRIPbDG,,,,,41.8764,-87.6133,anonymous,EN,Once a week,,5,Point A,Point A,Point B,Aggressive,Fairly Aggressive,Fairly Aggressive,Point A,Point A,Point B,Point A,Point B,Point A,Point A,Point B,Point B,7,6,6,5,6,5,6,25-34 years old,Male,
2022-08-12 11:11:40,2022-08-12 11:14:45,IP Address,208.218.227.27,100,184,True,2022-08-12 11:14:45,R_24NRk8pC08vFoCw,,,,,37.9186,-121.3132,anonymous,EN,Once a week,,90,Point A,Point A,Point A,Fairly Aggressive,Aggressive,Fairly Aggressive,Point B,Point A,Point A,Point A,Point B,Point B,Point A,Point A,Point B,5,5,6,5,6,5,6,25-34 years old,Male,
2022-08-12 11:05:51,2022-08-12 11:16:11,IP Address,208.207.191.68,100,619,True,2022-08-12 11:16:11,R_1o8f2YN6PP6FsAE,,,,,32.6731,-96.7755,anonymous,EN,Once a week,,75,Point A,Point B,Point A,Conservative,Conservative,Conservative,Point A,Point B,Point B,Point A,Point A,Point B,Point B,Point B,Point A,2,2,1,1,2,1,1,35-44 years old,Female,
2022-08-12 11:12:46,2022-08-12 11:17:07,IP Address,208.195.182.158,100,261,True,2022-08-12 11:17:08,R_2QhqNHUtUITDZJF,,,,,40.4551,-74.4871,anonymous,EN,2-3 times a week,,5,Point A,Point A,Point A,Neutral,Fairly Aggressive,Aggressive,Point A,Point A,Point B,Point A,Point A,Point B,Point A,Point A,Point B,4,5,5,6,4,6,4,25-34 years old,Male,
